,id,rating,director,theater_date,box_office,studio,genre
929,1206,PG-13,Antony Hoffman|Anthony Hoffman,2000,20900803,Warner Bros.,Mystery and Suspense
930,1207,R,Nicholas Racz,2003,20900803,Regent Releasing,Drama
931,1208,PG,Brad Bird,2004,20900803,Buena Vista Pictures,Animation
932,1209,NR,Alan Gibson,1987,20900803,Universal Pictures,Drama
933,1210,PG-13,Gary David Goldberg,2005,43800000,Warner Bros. Pictures,Comedy
934,1211,PG,Peter Wang,1986,20900803,Universal Pictures,Art House and International
935,1214,R,Perry Moore|Hunter Hill,2008,20900803,Screen Media Films,Drama
936,1215,NR,Navdeep Singh,1987,262586,Universal Pictures,Mystery and Suspense
937,1216,NR,Oscar Godoy,1987,20900803,Universal Pictures,Comedy
938,1217,R,Steven Spielberg,2007,20900803,IFC Films,Action and Adventure
939,1218,R,Christian Ditter,2016,20900803,Warner Bros. Pictures,Comedy
940,1219,PG,Steven Spielberg,1991,20900803,Universal Pictures,Action and Adventure
941,1220,NR,Oren Shai,2016,20900803,Rocking Films,Drama
942,1221,R,Jim Jarmusch,1995,20900803,Universal Pictures,Drama
943,1222,R,Steven Spielberg,2003,20900803,DEJ Productions,Drama
944,1223,PG-13,Peyton Reed,2006,118683135,Universal Pictures,Comedy
945,1224,NR,Jean Negulesco,1957,20900803,Universal Pictures,Action and Adventure
946,1225,NR,Steven Spielberg,1987,20900803,Universal Pictures,Drama
947,1226,R,Steven Spielberg,1987,20900803,Universal Pictures,Drama
948,1227,PG-13,Tom Shell,2001,20900803,Universal Pictures,Action and Adventure
949,1228,PG,Milton Katselas,1987,20900803,Universal Pictures,Classics
950,1229,NR,Steven Spielberg,1987,20900803,Universal Pictures,Documentary
951,1231,R,Steven Spielberg,2014,709133,A24 Films,Mystery and Suspense
952,1232,NR,Peter Bogdanovich,2004,20900803,Universal Pictures,Drama
953,1234,R,Guy Maddin,1993,20900803,Universal Pictures,Comedy
954,1235,PG,Steven Spielberg,1972,20900803,Universal Pictures,Art House and International
955,1236,R,Ewan McGregor,2016,541457,Lakeshore Entertainment,Drama
956,1237,PG-13,Douglas McGrath,2011,9500000,The Weinstein Co.,Comedy
957,1238,PG,Ken Shapiro,1981,20900803,Universal Pictures,Comedy
958,1239,G,Frank Nissen,2005,18013938,Buena Vista,Animation
959,1241,NR,Steven Spielberg,1987,20900803,Universal Pictures,Comedy
960,1242,NR,Preston Sturges,1944,20900803,Universal Pictures,Classics
961,1243,PG-13,Thomas Carter,2005,67169549,Paramount Pictures,Drama
962,1244,PG,Tom McLoughlin,1987,20900803,Universal Pictures,Comedy
963,1246,NR,Steven Spielberg,1987,20900803,Universal Pictures,Comedy
964,1252,PG-13,Tom Dey,2000,20900803,Buena Vista Internationa,Action and Adventure
965,1253,PG-13,Berit Nesheim,1997,20900803,Universal Pictures,Art House and International
966,1255,PG-13,Steven Spielberg,2009,257704099,IMAX,Action and Adventure
967,1256,R,Marc Forster,2005,3349167,20th Century Fox,Drama
968,1257,R,Henri Xhonneux,1987,20900803,Universal Pictures,Animation
969,1259,NR,Steven Spielberg,1987,20900803,Universal Pictures,Documentary
970,1260,NR,Erik Gandini,2009,363,Lorber Films,Documentary
971,1261,R,Herbert Ross,1995,20900803,Universal Pictures,Comedy
972,1263,PG-13,Daniel Taplitz,2004,11827301,Screen Gems,Comedy
973,1264,R,Stephan Rick,2018,20900803,Universal Pictures,Mystery and Suspense
974,1265,PG-13,Lawrence Kasdan,2012,793352,Sony Pictures Classics,Comedy
975,1266,R,Gordon Willis,1987,20900803,Universal Pictures,Drama
976,1267,NR,Guy Ritchie,1987,20900803,Universal Pictures,Action and Adventure
977,1268,R,Jacob Aaron Estes,2012,63595,The Weinstein Company,Comedy
978,1270,NR,Xie Jin,1987,20900803,Universal Pictures,Art House and International
979,1271,R,Paul Schrader,2005,20900803,Universal Pictures,Horror
980,1272,NR,William Wyler,1950,20900803,Universal Pictures,Classics
981,1273,PG,Eleanor Burke|Ron Eyal,1987,20900803,Slamdance,Drama
982,1274,R,Philip Goodhew,1996,20900803,Universal Pictures,Comedy
983,1275,NR,Jen McGowan,1987,20900803,Universal Pictures,Drama
984,1276,NR,Fedor Ozep,1947,20900803,Universal Pictures,Classics
985,1277,PG-13,Wolfgang Petersen,1985,20900803,Universal Pictures,Action and Adventure
986,1279,PG,Paul Feig,2006,16614132,Warner Bros.,Comedy
987,1280,NR,Chris Riedell|Nick Riedell,1987,20900803,Universal Pictures,Action and Adventure
988,1281,PG-13,James Lapine,1991,20900803,Universal Pictures,Comedy
989,1282,NR,Irving Rapper,1944,20900803,Universal Pictures,Documentary
990,1283,NR,Tim Nackashi|David Sampliner|Eric DelaBarre,1987,20900803,New Video Group,Documentary
991,1284,NR,Mitsuo Yanagimachi,1987,20900803,Universal Pictures,Action and Adventure
992,1285,NR,William Beaudine,1987,20900803,Universal Pictures,Comedy
993,1286,NR,Alberto Lattuada,1987,20900803,Universal Pictures,Art House and International
994,1287,G,Godfrey Reggio,1988,20900803,Universal Pictures,Art House and International
995,1288,PG,Steve Carr,2009,146336178,Sony Pictures/Columbia Pictures,Comedy
996,1289,R,Dusan Makavejev,1981,20900803,Universal Pictures,Art House and International
997,1290,R,Steven Spielberg,2005,20433940,Universal Pictures,Action and Adventure
998,1291,PG-13,Barnaby Thompson|Oliver Parker,2007,20900803,NeoClassics Films,Comedy
999,1292,R,Lisa Cholodenko,2003,3596939,Sony Pictures Classics,Art House and International
1000,1293,NR,Li Yang,2003,20900803,Universal Pictures,Art House and International
1001,1295,PG,Robert Stromberg,2014,190871149,Walt Disney Pictures,Science Fiction and Fantasy
1002,1296,NR,Steven Spielberg,1987,20900803,Universal Pictures,Drama
1003,1297,R,Susanna White,2018,20900803,Universal Pictures,Drama
1004,1298,PG-13,Tom Brady,2002,20900803,Universal Pictures,Comedy
1005,1300,R,Tim Blake Nelson,2002,20900803,Lions Gate Films,Drama
1006,1304,NR,Kiyoshi Kurosawa,2000,20900803,Universal Pictures,Action and Adventure
1007,1305,PG,Steve Oedekerk,2006,72601713,Paramount Pictures,Animation
1008,1307,PG-13,Sacha Gervasi,2012,6002708,Fox Searchlight Pictures,Drama
1009,1308,R,Steven Spielberg,1977,20900803,Universal Pictures,Action and Adventure
1010,1309,NR,John Badham,2002,20900803,Universal Pictures,Drama
1011,1310,NR,Burt Kennedy,1967,20900803,Universal Pictures,Action and Adventure
1012,1311,PG,Richard Lester,1974,20900803,Universal Pictures,Action and Adventure
1013,1313,PG-13,Amy Heckerling,1985,20900803,Universal Pictures,Comedy
1014,1314,NR,Stephen Shin,1994,20900803,Universal Pictures,Action and Adventure
1015,1315,PG,Robert Rodriguez,2001,20900803,Dimension Films,Action and Adventure
1016,1317,PG-13,Joe Roth,2001,93008426,Columbia Pictures,Comedy
1017,1318,NR,Steven Spielberg,2010,20900803,Universal Pictures,Animation
1018,1319,PG,Steven Spielberg,1983,20900803,Universal Pictures,Action and Adventure
1019,1320,R,Curtis Hanson,2002,116638030,Universal Pictures,Drama
1020,1321,PG-13,Tate Taylor,2014,22838662,Universal Pictures,Drama
1021,1322,R,Jackie Kong,1983,20900803,Universal Pictures,Horror
1022,1324,NR,Wojciech Has,1999,20900803,Universal Pictures,Art House and International
1023,1325,R,Shane Black,2018,20900803,Universal Pictures,Action and Adventure
1024,1326,NR,Steven Spielberg,2001,20900803,Universal Pictures,Art House and International
1025,1327,PG-13,Steven Spielberg,2004,5696752,Paramount Pictures,Drama
1026,1329,R,Curtis Hanson,1992,20900803,Universal Pictures,Drama
1027,1330,R,Mike Figgis,2003,20900803,Buena Vista Pictures,Drama
1028,1331,PG,Steven Spielberg,1987,20900803,Universal Pictures,Art House and International
1029,1332,NR,Rick Hauser,1987,20900803,Universal Pictures,Drama
1030,1334,PG-13,Youssef Delara,2016,320676,Universal Pictures,Comedy
1031,1335,R,Steve Carr,2000,20900803,New Line Home Entertainment,Comedy
1032,1336,R,Jimmy Sangster,1971,20900803,Universal Pictures,Art House and International
1033,1337,PG-13,Paul Weitz,2006,7156725,Universal Pictures,Comedy
1034,1338,R,Wayne Wang|Paul Auster,1995,20900803,Universal Pictures,Art House and International
1035,1339,PG,Eleanor Coppola,2017,5617321,Sony Pictures Classics,Comedy
1036,1340,PG-13,Brian Robbins,2004,10279192,Paramount Pictures,Comedy
1037,1341,PG,Brian Levant,2002,81110575,Buena Vista Distribution Compa,Action and Adventure
1038,1342,PG,Uli Edel|Ulrich Edel,2000,13432508,New Line Cinema,Action and Adventure
1039,1343,NR,Herman Yau,2009,20900803,Universal Pictures,Action and Adventure
1040,1344,NR,Fred Zinnemann,1959,20900803,Universal Pictures,Classics
1041,1346,G,John Frankenheimer,1962,20900803,Universal Pictures,Classics
1042,1347,NR,Clara Law,2000,20900803,Universal Pictures,Comedy
1043,1349,NR,Dave McLaughlin,2008,20900803,FilmBuff,Comedy
1044,1350,NR,Steven Spielberg,2000,20900803,Universal Pictures,Art House and International
1045,1351,NR,Khyentse Norbu,2005,20900803,Zeitgeist Films,Art House and International
1046,1352,R,Martha Coolidge,1987,20900803,Universal Pictures,Comedy
1047,1353,NR,Steven Spielberg,1987,20900803,Universal Pictures,Classics
1048,1354,PG,John Roberts,1995,20900803,Universal Pictures,Action and Adventure
1049,1355,NR,Ching Wan Lau|Leung Siu Hung|Patrick Yau,1998,20900803,Universal Pictures,Art House and International
1050,1357,PG,John Huston,1951,20900803,Universal Pictures,Action and Adventure
1051,1358,G,John Ford,1952,20900803,Universal Pictures,Classics
1052,1359,NR,Norman Taurog|Busby Berkeley,1943,20900803,Universal Pictures,Classics
1053,1361,PG,Steven Spielberg,1968,20900803,Blue Underground,Action and Adventure
1054,1362,PG-13,Mike Binder,2015,15504419,Universal Pictures,Drama
1055,1363,R,Frank Perry,1987,20900803,Universal Pictures,Comedy
1056,1364,PG,Larry Peerce,1987,20900803,Universal Pictures,Comedy
1057,1365,R,Ken Russell,1988,20900803,Universal Pictures,Art House and International
1058,1366,R,Guy Ritchie,1999,20900803,Universal Pictures,Action and Adventure
1059,1368,R,William Friedkin,2000,20900803,Paramount Pictures,Action and Adventure
1060,1369,R,Jeffrey Bell,1994,20900803,Universal Pictures,Drama
1061,1370,NR,Rolando Colla,1987,20900803,Universal Pictures,Drama
1062,1372,NR,Steven Spielberg,1987,20900803,Universal Pictures,Action and Adventure
